date,category,subcategory,amount,type,description,month,month_num,year
2024-01-01,Income,Salary,61394.27,income,Salary payment,January,1,2024
2024-01-01,Income,Freelance,9125.44,income,Freelance payment,January,1,2024
2024-01-01,Housing,Rent,15000.0,expense,Rent payment,January,1,2024
2024-01-01,Housing,Internet,699.0,expense,Internet payment,January,1,2024
2024-01-01,Housing,Maintenance,1554.8,expense,Maintenance payment,January,1,2024
2024-01-01,Food,Groceries,2089.39,expense,Groceries payment,January,1,2024
2024-01-01,Food,Coffee,331.18,expense,Coffee payment,January,1,2024
2024-01-01,Transport,Fuel,2258.03,expense,Fuel payment,January,1,2024
2024-01-01,Transport,Uber,221.23,expense,Uber payment,January,1,2024
2024-01-01,Transport,Metro,359.95,expense,Metro payment,January,1,2024
2024-01-01,Entertainment,OTT Subscriptions,720.44,expense,OTT Subscriptions payment,January,1,2024
2024-01-01,Entertainment,Events,2514.55,expense,Events payment,January,1,2024
2024-01-01,Health,Gym,2198.14,expense,Gym payment,January,1,2024
2024-01-01,Health,Insurance,4871.64,expense,Insurance payment,January,1,2024
2024-01-01,Shopping,Electronics,3257.31,expense,Electronics payment,January,1,2024
2024-01-01,Savings,Fixed Deposit,13280.61,expense,Fixed Deposit payment,January,1,2024
2024-01-02,Income,Salary,63294.05,income,Salary payment,January,1,2024
2024-01-02,Housing,Rent,15000.0,expense,Rent payment,January,1,2024
2024-01-02,Housing,Internet,699.0,expense,Internet payment,January,1,2024
2024-01-02,Food,Restaurants,1223.47,expense,Restaurants payment,January,1,2024
2024-01-02,Food,Food Delivery,395.75,expense,Food Delivery payment,January,1,2024
2024-01-02,Transport,Metro,140.4,expense,Metro payment,January,1,2024
2024-01-02,Entertainment,OTT Subscriptions,1135.68,expense,OTT Subscriptions payment,January,1,2024
2024-01-02,Health,Gym,1766.98,expense,Gym payment,January,1,2024
2024-01-02,Health,Insurance,3827.39,expense,Insurance payment,January,1,2024
2024-01-02,Savings,Fixed Deposit,16640.0,expense,Fixed Deposit payment,January,1,2024
2024-01-03,Income,Salary,57290.48,income,Salary payment,January,1,2024
2024-01-03,Income,Freelance,9731.8,income,Freelance payment,January,1,2024
2024-01-03,Housing,Rent,15000.0,expense,Rent payment,January,1,2024
2024-01-03,Housing,Internet,699.0,expense,Internet payment,January,1,2024
2024-01-03,Food,Coffee,593.26,expense,Coffee payment,January,1,2024
2024-01-03,Transport,Metro,465.82,expense,Metro payment,January,1,2024
2024-01-03,Entertainment,OTT Subscriptions,764.88,expense,OTT Subscriptions payment,January,1,2024
2024-01-03,Health,Gym,2084.59,expense,Gym payment,January,1,2024
2024-01-03,Shopping,Books,237.69,expense,Books payment,January,1,2024
2024-01-03,Investment,Stocks,7392.12,expense,Stocks payment,January,1,2024
2024-01-03,Investment,Gold,2526.48,expense,Gold payment,January,1,2024
2024-01-04,Housing,Maintenance,2301.8,expense,Maintenance payment,January,1,2024
2024-01-04,Entertainment,Events,1586.91,expense,Events payment,January,1,2024
2024-01-05,Food,Restaurants,1825.88,expense,Restaurants payment,January,1,2024
2024-01-05,Food,Food Delivery,300.69,expense,Food Delivery payment,January,1,2024
2024-01-05,Transport,Metro,107.79,expense,Metro payment,January,1,2024
2024-01-05,Health,Medicine,1780.42,expense,Medicine payment,January,1,2024
2024-01-05,Shopping,Clothing,2943.96,expense,Clothing payment,January,1,2024
2024-01-05,Shopping,Electronics,11887.83,expense,Electronics payment,January,1,2024
2024-01-05,Shopping,Books,580.23,expense,Books payment,January,1,2024
2024-01-06,Food,Coffee,797.09,expense,Coffee payment,January,1,2024
2024-01-06,Entertainment,Gaming,604.46,expense,Gaming payment,January,1,2024
2024-01-06,Shopping,Electronics,10204.34,expense,Electronics payment,January,1,2024
2024-01-06,Investment,Mutual Funds,3428.03,expense,Mutual Funds payment,January,1,2024
2024-01-06,Savings,Emergency Fund,4806.54,expense,Emergency Fund payment,January,1,2024
2024-01-07,Transport,Metro,138.77,expense,Metro payment,January,1,2024
2024-01-07,Shopping,Clothing,2610.49,expense,Clothing payment,January,1,2024
2024-01-08,Food,Groceries,2151.76,expense,Groceries payment,January,1,2024
2024-01-08,Food,Coffee,799.57,expense,Coffee payment,January,1,2024
2024-01-08,Transport,Fuel,2754.04,expense,Fuel payment,January,1,2024
2024-01-08,Transport,Uber,975.2,expense,Uber payment,January,1,2024
2024-01-08,Health,Doctor,1447.43,expense,Doctor payment,January,1,2024
2024-01-09,Food,Restaurants,1855.49,expense,Restaurants payment,January,1,2024
2024-01-09,Food,Food Delivery,1197.57,expense,Food Delivery payment,January,1,2024
2024-01-09,Transport,Metro,333.67,expense,Metro payment,January,1,2024
2024-01-09,Health,Medicine,534.48,expense,Medicine payment,January,1,2024
2024-01-09,Shopping,Home Decor,4506.29,expense,Home Decor payment,January,1,2024
2024-01-10,Food,Coffee,437.47,expense,Coffee payment,January,1,2024
2024-01-10,Entertainment,Events,1645.71,expense,Events payment,January,1,2024
2024-01-10,Shopping,Clothing,1852.62,expense,Clothing payment,January,1,2024
2024-01-11,Housing,Maintenance,2542.76,expense,Maintenance payment,January,1,2024
2024-01-11,Transport,Metro,365.36,expense,Metro payment,January,1,2024
2024-01-11,Entertainment,Movies,357.71,expense,Movies payment,January,1,2024
2024-01-11,Entertainment,Gaming,1195.8,expense,Gaming payment,January,1,2024
2024-01-11,Investment,Crypto,2694.3,expense,Crypto payment,January,1,2024
2024-01-11,Savings,Emergency Fund,4313.36,expense,Emergency Fund payment,January,1,2024
2024-01-12,Food,Restaurants,1569.22,expense,Restaurants payment,January,1,2024
2024-01-12,Food,Food Delivery,311.6,expense,Food Delivery payment,January,1,2024
2024-01-12,Transport,Metro,453.24,expense,Metro payment,January,1,2024
2024-01-12,Health,Medicine,429.4,expense,Medicine payment,January,1,2024
2024-01-12,Investment,Crypto,4120.46,expense,Crypto payment,January,1,2024
2024-01-13,Food,Coffee,785.72,expense,Coffee payment,January,1,2024
2024-01-13,Entertainment,Movies,668.28,expense,Movies payment,January,1,2024
2024-01-13,Shopping,Books,897.73,expense,Books payment,January,1,2024
2024-01-14,Housing,Electricity,1031.76,expense,Electricity payment,January,1,2024
2024-01-14,Shopping,Electronics,14615.21,expense,Electronics payment,January,1,2024
2024-01-14,Investment,Mutual Funds,4607.38,expense,Mutual Funds payment,January,1,2024
2024-01-15,Food,Groceries,4126.36,expense,Groceries payment,January,1,2024
2024-01-15,Food,Coffee,201.01,expense,Coffee payment,January,1,2024
2024-01-15,Transport,Fuel,2888.36,expense,Fuel payment,January,1,2024
2024-01-15,Transport,Uber,630.76,expense,Uber payment,January,1,2024
2024-01-15,Entertainment,Events,2160.59,expense,Events payment,January,1,2024
2024-01-15,Investment,Gold,2681.79,expense,Gold payment,January,1,2024
2024-01-16,Food,Restaurants,1869.84,expense,Restaurants payment,January,1,2024
2024-01-16,Food,Food Delivery,300.49,expense,Food Delivery payment,January,1,2024
2024-01-16,Transport,Metro,271.96,expense,Metro payment,January,1,2024
2024-01-16,Shopping,Books,612.36,expense,Books payment,January,1,2024
2024-01-17,Housing,Electricity,1093.81,expense,Electricity payment,January,1,2024
2024-01-17,Food,Coffee,709.84,expense,Coffee payment,January,1,2024
2024-01-17,Transport,Metro,265.78,expense,Metro payment,January,1,2024
2024-01-17,Shopping,Clothing,4003.86,expense,Clothing payment,January,1,2024
2024-01-17,Shopping,Home Decor,2413.16,expense,Home Decor payment,January,1,2024
2024-01-17,Investment,Crypto,1996.79,expense,Crypto payment,January,1,2024
2024-01-19,Income,Dividends,1214.32,income,Dividends payment,January,1,2024
2024-01-19,Food,Restaurants,1850.38,expense,Restaurants payment,January,1,2024
2024-01-19,Food,Food Delivery,466.05,expense,Food Delivery payment,January,1,2024
2024-01-19,Transport,Metro,377.58,expense,Metro payment,January,1,2024
2024-01-19,Entertainment,Movies,503.8,expense,Movies payment,January,1,2024
2024-01-19,Investment,Crypto,2407.04,expense,Crypto payment,January,1,2024
2024-01-20,Food,Coffee,561.95,expense,Coffee payment,January,1,2024
2024-01-20,Transport,Metro,187.77,expense,Metro payment,January,1,2024
2024-01-20,Entertainment,Movies,468.06,expense,Movies payment,January,1,2024
2024-01-20,Shopping,Clothing,3489.03,expense,Clothing payment,January,1,2024
2024-01-20,Shopping,Electronics,7122.26,expense,Electronics payment,January,1,2024
2024-01-20,Shopping,Books,714.2,expense,Books payment,January,1,2024
2024-01-20,Investment,Stocks,6231.89,expense,Stocks payment,January,1,2024
2024-01-20,Investment,Mutual Funds,4274.62,expense,Mutual Funds payment,January,1,2024
2024-01-21,Transport,Metro,107.75,expense,Metro payment,January,1,2024
2024-01-21,Shopping,Books,321.91,expense,Books payment,January,1,2024
2024-01-21,Investment,Stocks,7686.21,expense,Stocks payment,January,1,2024
2024-01-22,Housing,Maintenance,2548.25,expense,Maintenance payment,January,1,2024
2024-01-22,Food,Groceries,4894.16,expense,Groceries payment,January,1,2024
2024-01-22,Food,Coffee,264.86,expense,Coffee payment,January,1,2024
2024-01-22,Transport,Fuel,1538.52,expense,Fuel payment,January,1,2024
2024-01-22,Transport,Uber,449.57,expense,Uber payment,January,1,2024
2024-01-22,Entertainment,Events,2226.54,expense,Events payment,January,1,2024
2024-01-22,Health,Doctor,2431.2,expense,Doctor payment,January,1,2024
2024-01-22,Shopping,Home Decor,4927.3,expense,Home Decor payment,January,1,2024
2024-01-23,Housing,Electricity,1952.95,expense,Electricity payment,January,1,2024
